groupID,subjectID,a,v_self,v_stranger,v_diff,Type,Condition.x,Condition.y,Condition.x.x,Condition.y.y,Condition.x.x.x,Condition.y.y.y,Condition.x.x.x.x,Condition.y.y.y.y
1,1,0.524152,2.252599,0.26347,1.989129,empirical,"P=0,T=30,W=300","P=0,T=30,W=300","P=0,T=30,W=300","P=0,T=30,W=300","P=0,T=30,W=300","P=0,T=30,W=300","P=0,T=30,W=300","P=0,T=30,W=300"
1,2,0.577014,-0.389254,-0.000343,-0.388911,empirical,"P=0,T=30,W=300","P=0,T=30,W=300","P=0,T=30,W=300","P=0,T=30,W=300","P=0,T=30,W=300","P=0,T=30,W=300","P=0,T=30,W=300","P=0,T=30,W=300"
1,3,0.60725,2.124463,1.94349,0.180973,empirical,"P=0,T=30,W=300","P=0,T=30,W=300","P=0,T=30,W=300","P=0,T=30,W=300","P=0,T=30,W=300","P=0,T=30,W=300","P=0,T=30,W=300","P=0,T=30,W=300"
1,4,0.530125,2.652768,1.646687,1.006081,empirical,"P=0,T=30,W=300","P=0,T=30,W=300","P=0,T=30,W=300","P=0,T=30,W=300","P=0,T=30,W=300","P=0,T=30,W=300","P=0,T=30,W=300","P=0,T=30,W=300"
1,5,0.728156,4.195311,6.23189,-2.036579,empirical,"P=0,T=30,W=300","P=0,T=30,W=300","P=0,T=30,W=300","P=0,T=30,W=300","P=0,T=30,W=300","P=0,T=30,W=300","P=0,T=30,W=300","P=0,T=30,W=300"
1,6,0.571524,2.200811,2.829422,-0.628611,empirical,"P=0,T=30,W=300","P=0,T=30,W=300","P=0,T=30,W=300","P=0,T=30,W=300","P=0,T=30,W=300","P=0,T=30,W=300","P=0,T=30,W=300","P=0,T=30,W=300"
1,7,0.44717,0.272902,1.063864,-0.790962,empirical,"P=0,T=30,W=300","P=0,T=30,W=300","P=0,T=30,W=300","P=0,T=30,W=300","P=0,T=30,W=300","P=0,T=30,W=300","P=0,T=30,W=300","P=0,T=30,W=300"
1,8,0.612257,3.483761,3.634955,-0.151194,empirical,"P=0,T=30,W=300","P=0,T=30,W=300","P=0,T=30,W=300","P=0,T=30,W=300","P=0,T=30,W=300","P=0,T=30,W=300","P=0,T=30,W=300","P=0,T=30,W=300"
1,9,0.579398,2.80066,2.717278,0.0833820000000003,empirical,"P=0,T=30,W=300","P=0,T=30,W=300","P=0,T=30,W=300","P=0,T=30,W=300","P=0,T=30,W=300","P=0,T=30,W=300","P=0,T=30,W=300","P=0,T=30,W=300"
1,10,0.524207,-0.101323,0.189659,-0.290982,empirical,"P=0,T=30,W=300","P=0,T=30,W=300","P=0,T=30,W=300","P=0,T=30,W=300","P=0,T=30,W=300","P=0,T=30,W=300","P=0,T=30,W=300","P=0,T=30,W=300"
1,11,0.519356,0.769507,-0.090033,0.85954,empirical,"P=0,T=30,W=300","P=0,T=30,W=300","P=0,T=30,W=300","P=0,T=30,W=300","P=0,T=30,W=300","P=0,T=30,W=300","P=0,T=30,W=300","P=0,T=30,W=300"
2,1,0.819988,-0.296815,-0.090498,-0.206317,empirical,"P=0,T=30,W=600","P=0,T=30,W=600","P=0,T=30,W=600","P=0,T=30,W=600","P=0,T=30,W=600","P=0,T=30,W=600","P=0,T=30,W=600","P=0,T=30,W=600"
2,2,0.920807,-0.000058,-0.558929,0.558871,empirical,"P=0,T=30,W=600","P=0,T=30,W=600","P=0,T=30,W=600","P=0,T=30,W=600","P=0,T=30,W=600","P=0,T=30,W=600","P=0,T=30,W=600","P=0,T=30,W=600"
2,4,0.926337,0.376117,-0.701496,1.077613,empirical,"P=0,T=30,W=600","P=0,T=30,W=600","P=0,T=30,W=600","P=0,T=30,W=600","P=0,T=30,W=600","P=0,T=30,W=600","P=0,T=30,W=600","P=0,T=30,W=600"
2,5,0.811518,0.479283,0.226188,0.253095,empirical,"P=0,T=30,W=600","P=0,T=30,W=600","P=0,T=30,W=600","P=0,T=30,W=600","P=0,T=30,W=600","P=0,T=30,W=600","P=0,T=30,W=600","P=0,T=30,W=600"
2,7,0.564739,1.27355,0.751282,0.522268,empirical,"P=0,T=30,W=600","P=0,T=30,W=600","P=0,T=30,W=600","P=0,T=30,W=600","P=0,T=30,W=600","P=0,T=30,W=600","P=0,T=30,W=600","P=0,T=30,W=600"
2,8,1.169361,0.550258,-0.545636,1.095894,empirical,"P=0,T=30,W=600","P=0,T=30,W=600","P=0,T=30,W=600","P=0,T=30,W=600","P=0,T=30,W=600","P=0,T=30,W=600","P=0,T=30,W=600","P=0,T=30,W=600"
2,9,1.356127,1.583322,0.507402,1.07592,empirical,"P=0,T=30,W=600","P=0,T=30,W=600","P=0,T=30,W=600","P=0,T=30,W=600","P=0,T=30,W=600","P=0,T=30,W=600","P=0,T=30,W=600","P=0,T=30,W=600"
2,10,0.870094,1.235056,0.343179,0.891877,empirical,"P=0,T=30,W=600","P=0,T=30,W=600","P=0,T=30,W=600","P=0,T=30,W=600","P=0,T=30,W=600","P=0,T=30,W=600","P=0,T=30,W=600","P=0,T=30,W=600"
2,11,1.192035,0.397974,-0.211624,0.609598,empirical,"P=0,T=30,W=600","P=0,T=30,W=600","P=0,T=30,W=600","P=0,T=30,W=600","P=0,T=30,W=600","P=0,T=30,W=600","P=0,T=30,W=600","P=0,T=30,W=600"
2,12,0.788977,1.178,2.426032,-1.248032,empirical,"P=0,T=30,W=600","P=0,T=30,W=600","P=0,T=30,W=600","P=0,T=30,W=600","P=0,T=30,W=600","P=0,T=30,W=600","P=0,T=30,W=600","P=0,T=30,W=600"
3,1,1.038559,1.541858,0.539017,1.002841,empirical,"P=120,T=30,W=600","P=120,T=30,W=600","P=120,T=30,W=600","P=120,T=30,W=600","P=120,T=30,W=600","P=120,T=30,W=600","P=120,T=30,W=600","P=120,T=30,W=600"
3,2,1.152227,0.346382,-0.300815,0.647197,empirical,"P=120,T=30,W=600","P=120,T=30,W=600","P=120,T=30,W=600","P=120,T=30,W=600","P=120,T=30,W=600","P=120,T=30,W=600","P=120,T=30,W=600","P=120,T=30,W=600"
3,3,0.538259,-0.31745,0.786711,-1.104161,empirical,"P=120,T=30,W=600","P=120,T=30,W=600","P=120,T=30,W=600","P=120,T=30,W=600","P=120,T=30,W=600","P=120,T=30,W=600","P=120,T=30,W=600","P=120,T=30,W=600"
3,4,1.152946,1.280322,0.628381,0.651941,empirical,"P=120,T=30,W=600","P=120,T=30,W=600","P=120,T=30,W=600","P=120,T=30,W=600","P=120,T=30,W=600","P=120,T=30,W=600","P=120,T=30,W=600","P=120,T=30,W=600"
3,5,0.629504,0.223637,0.081647,0.14199,empirical,"P=120,T=30,W=600","P=120,T=30,W=600","P=120,T=30,W=600","P=120,T=30,W=600","P=120,T=30,W=600","P=120,T=30,W=600","P=120,T=30,W=600","P=120,T=30,W=600"
3,6,1.05496,0.816641,0.135581,0.68106,empirical,"P=120,T=30,W=600","P=120,T=30,W=600","P=120,T=30,W=600","P=120,T=30,W=600","P=120,T=30,W=600","P=120,T=30,W=600","P=120,T=30,W=600","P=120,T=30,W=600"
3,7,1.191752,1.604073,-0.543106,2.147179,empirical,"P=120,T=30,W=600","P=120,T=30,W=600","P=120,T=30,W=600","P=120,T=30,W=600","P=120,T=30,W=600","P=120,T=30,W=600","P=120,T=30,W=600","P=120,T=30,W=600"
3,8,0.836237,-0.189792,-0.622333,0.432541,empirical,"P=120,T=30,W=600","P=120,T=30,W=600","P=120,T=30,W=600","P=120,T=30,W=600","P=120,T=30,W=600","P=120,T=30,W=600","P=120,T=30,W=600","P=120,T=30,W=600"
3,10,0.764334,-0.030398,-0.773112,0.742714,empirical,"P=120,T=30,W=600","P=120,T=30,W=600","P=120,T=30,W=600","P=120,T=30,W=600","P=120,T=30,W=600","P=120,T=30,W=600","P=120,T=30,W=600","P=120,T=30,W=600"
3,12,0.845636,0.674918,-0.483735,1.158653,empirical,"P=120,T=30,W=600","P=120,T=30,W=600","P=120,T=30,W=600","P=120,T=30,W=600","P=120,T=30,W=600","P=120,T=30,W=600","P=120,T=30,W=600","P=120,T=30,W=600"
4,1,1.208109,1.080029,1.010493,0.0695359999999998,empirical,"P=120,T=80,W=600","P=120,T=80,W=600","P=120,T=80,W=600","P=120,T=80,W=600","P=120,T=80,W=600","P=120,T=80,W=600","P=120,T=80,W=600","P=120,T=80,W=600"
4,2,1.148016,1.355572,-0.48298,1.838552,empirical,"P=120,T=80,W=600","P=120,T=80,W=600","P=120,T=80,W=600","P=120,T=80,W=600","P=120,T=80,W=600","P=120,T=80,W=600","P=120,T=80,W=600","P=120,T=80,W=600"
4,5,1.822757,3.225781,2.171415,1.054366,empirical,"P=120,T=80,W=600","P=120,T=80,W=600","P=120,T=80,W=600","P=120,T=80,W=600","P=120,T=80,W=600","P=120,T=80,W=600","P=120,T=80,W=600","P=120,T=80,W=600"
4,6,1.447209,1.734321,-0.177897,1.912218,empirical,"P=120,T=80,W=600","P=120,T=80,W=600","P=120,T=80,W=600","P=120,T=80,W=600","P=120,T=80,W=600","P=120,T=80,W=600","P=120,T=80,W=600","P=120,T=80,W=600"
4,7,1.732059,2.636808,0.904584,1.732224,empirical,"P=120,T=80,W=600","P=120,T=80,W=600","P=120,T=80,W=600","P=120,T=80,W=600","P=120,T=80,W=600","P=120,T=80,W=600","P=120,T=80,W=600","P=120,T=80,W=600"
4,8,1.677258,2.101683,0.780998,1.320685,empirical,"P=120,T=80,W=600","P=120,T=80,W=600","P=120,T=80,W=600","P=120,T=80,W=600","P=120,T=80,W=600","P=120,T=80,W=600","P=120,T=80,W=600","P=120,T=80,W=600"
4,9,1.041585,1.007862,0.757254,0.250608,empirical,"P=120,T=80,W=600","P=120,T=80,W=600","P=120,T=80,W=600","P=120,T=80,W=600","P=120,T=80,W=600","P=120,T=80,W=600","P=120,T=80,W=600","P=120,T=80,W=600"
